instrument,uuid4,file_path,test_train_val,new_file_path,effect_applied,wet_dry,parameter,parameter_value,split,rms_energy_mean,rms_energy_std,spectral_flatness_mean,spectral_flatness_std,effect,label,true_label,pred_label,is_wrong,wet_audio_rel_path,wet_exists,file_name,wet_parent_folder,dry_exists,intensity
flute,529a4d53-dad5-5cb9-f166-8442643043a4,./Medley-solos-DB/Medley-solos-DB_validation-3_529a4d53-dad5-5cb9-f166-8442643043a4.wav,test,dry/dry_529a4d53-dad5-5cb9-f166-8442643043a4.wav,dry,1,none,{},test,0.011952323,0.010432383,0.022840228,0.037267491,dry,3,dry,chorus,TRUE,dry/dry_529a4d53-dad5-5cb9-f166-8442643043a4.wav,TRUE,dry_529a4d53-dad5-5cb9-f166-8442643043a4.wav,dry,TRUE,none
female singer,d40068e6-8fa0-59e9-f152-0d4b84931c17,./Medley-solos-DB/Medley-solos-DB_test-2_d40068e6-8fa0-59e9-f152-0d4b84931c17.wav,test,dry/dry_d40068e6-8fa0-59e9-f152-0d4b84931c17.wav,dry,1,none,{},test,0.004899699,0.002295103,0.001988987,0.005220939,dry,3,dry,dry,FALSE,dry/dry_d40068e6-8fa0-59e9-f152-0d4b84931c17.wav,TRUE,dry_d40068e6-8fa0-59e9-f152-0d4b84931c17.wav,dry,TRUE,none
piano,fdcb25bf-26ef-54dd-f8a1-a92b871551ee,./Medley-solos-DB/Medley-solos-DB_test-4_fdcb25bf-26ef-54dd-f8a1-a92b871551ee.wav,test,dry/dry_fdcb25bf-26ef-54dd-f8a1-a92b871551ee.wav,dry,1,none,{},test,0.008222059,0.004690027,0.023418611,0.15069665,dry,3,dry,reverb,TRUE,dry/dry_fdcb25bf-26ef-54dd-f8a1-a92b871551ee.wav,TRUE,dry_fdcb25bf-26ef-54dd-f8a1-a92b871551ee.wav,dry,TRUE,none
piano,aef846be-9560-5b20-f656-043e324acbec,./Medley-solos-DB/Medley-solos-DB_test-4_aef846be-9560-5b20-f656-043e324acbec.wav,test,dry/dry_aef846be-9560-5b20-f656-043e324acbec.wav,dry,1,none,{},test,0.076745942,0.040980916,5.37E-05,7.33E-05,dry,3,dry,distortion,TRUE,dry/dry_aef846be-9560-5b20-f656-043e324acbec.wav,TRUE,dry_aef846be-9560-5b20-f656-043e324acbec.wav,dry,TRUE,none
violin,b6ea387f-8af3-5769-ff3c-ae6d84fcfaf9,./Medley-solos-DB/Medley-solos-DB_test-7_b6ea387f-8af3-5769-ff3c-ae6d84fcfaf9.wav,test,dry/dry_b6ea387f-8af3-5769-ff3c-ae6d84fcfaf9.wav,dry,1,none,{},test,0.039206345,0.014730957,0.002152994,0.002757673,dry,3,dry,dry,FALSE,dry/dry_b6ea387f-8af3-5769-ff3c-ae6d84fcfaf9.wav,TRUE,dry_b6ea387f-8af3-5769-ff3c-ae6d84fcfaf9.wav,dry,TRUE,none
piano,24012543-cb28-551f-f5cd-092ac096fde6,./Medley-solos-DB/Medley-solos-DB_training-4_24012543-cb28-551f-f5cd-092ac096fde6.wav,test,dry/dry_24012543-cb28-551f-f5cd-092ac096fde6.wav,dry,1,none,{},test,0.046696521,0.011561051,4.75E-05,0.000311324,dry,3,dry,distortion,TRUE,dry/dry_24012543-cb28-551f-f5cd-092ac096fde6.wav,TRUE,dry_24012543-cb28-551f-f5cd-092ac096fde6.wav,dry,TRUE,none
piano,979d50f1-2210-5353-f3c4-7910edd05467,./Medley-solos-DB/Medley-solos-DB_training-4_979d50f1-2210-5353-f3c4-7910edd05467.wav,test,dry/dry_979d50f1-2210-5353-f3c4-7910edd05467.wav,dry,1,none,{},test,0.010522803,0.002674915,0.0001858,0.000680022,dry,3,dry,reverb,TRUE,dry/dry_979d50f1-2210-5353-f3c4-7910edd05467.wav,TRUE,dry_979d50f1-2210-5353-f3c4-7910edd05467.wav,dry,TRUE,none
flute,3d8ec54c-3e25-575c-f194-cfa09b007409,./Medley-solos-DB/Medley-solos-DB_test-3_3d8ec54c-3e25-575c-f194-cfa09b007409.wav,test,dry/dry_3d8ec54c-3e25-575c-f194-cfa09b007409.wav,dry,1,none,{},test,0.006633035,0.001822251,2.02E-05,1.92E-05,dry,3,dry,dry,FALSE,dry/dry_3d8ec54c-3e25-575c-f194-cfa09b007409.wav,TRUE,dry_3d8ec54c-3e25-575c-f194-cfa09b007409.wav,dry,TRUE,none
tenor saxophone,41ffd18c-e294-5475-f946-6f116448860b,./Medley-solos-DB/Medley-solos-DB_test-5_41ffd18c-e294-5475-f946-6f116448860b.wav,test,dry/dry_41ffd18c-e294-5475-f946-6f116448860b.wav,dry,1,none,{},test,0.139498889,0.03480342,0.003454193,0.00368415,dry,3,dry,dry,FALSE,dry/dry_41ffd18c-e294-5475-f946-6f116448860b.wav,TRUE,dry_41ffd18c-e294-5475-f946-6f116448860b.wav,dry,TRUE,none
clarinet,c70efd80-0efc-5c0a-fd81-0c61ba270376,./Medley-solos-DB/Medley-solos-DB_test-0_c70efd80-0efc-5c0a-fd81-0c61ba270376.wav,test,dry/dry_c70efd80-0efc-5c0a-fd81-0c61ba270376.wav,dry,1,none,{},test,0.013007424,0.013121651,0.000200629,0.000635338,dry,3,dry,chorus,TRUE,dry/dry_c70efd80-0efc-5c0a-fd81-0c61ba270376.wav,TRUE,dry_c70efd80-0efc-5c0a-fd81-0c61ba270376.wav,dry,TRUE,none
