instrument,uuid4,file_path,test_train_val,new_file_path,effect_applied,wet_dry,parameter,parameter_value,split
flute,f263da84-2c80-5bfe-fe98-bf4fd129f2f5,./Medley-solos-DB/Medley-solos-DB_test-3_f263da84-2c80-5bfe-fe98-bf4fd129f2f5.wav,train,dry\dry_f263da84-2c80-5bfe-fe98-bf4fd129f2f5.wav,dry,1.0000,none,{},train
female singer,bb709a09-d000-5f50-f11d-b0fd9334dbba,./Medley-solos-DB/Medley-solos-DB_training-2_bb709a09-d000-5f50-f11d-b0fd9334dbba.wav,train,dry\dry_bb709a09-d000-5f50-f11d-b0fd9334dbba.wav,dry,1.0000,none,{},train
violin,9569c460-fdcd-5fbb-f6c5-97e1ae16b488,./Medley-solos-DB/Medley-solos-DB_test-7_9569c460-fdcd-5fbb-f6c5-97e1ae16b488.wav,train,dry\dry_9569c460-fdcd-5fbb-f6c5-97e1ae16b488.wav,dry,1.0000,none,{},train
flute,1a9b667c-361c-5172-f2a0-c9744410e4e7,./Medley-solos-DB/Medley-solos-DB_test-3_1a9b667c-361c-5172-f2a0-c9744410e4e7.wav,train,dry\dry_1a9b667c-361c-5172-f2a0-c9744410e4e7.wav,dry,1.0000,none,{},train
piano,602afd20-8aa1-5118-f35a-11cc48fd6c3d,./Medley-solos-DB/Medley-solos-DB_training-4_602afd20-8aa1-5118-f35a-11cc48fd6c3d.wav,train,dry\dry_602afd20-8aa1-5118-f35a-11cc48fd6c3d.wav,dry,1.0000,none,{},train
flute,6442ed21-ea88-5d6f-f4a7-354f16318fec,./Medley-solos-DB/Medley-solos-DB_test-3_6442ed21-ea88-5d6f-f4a7-354f16318fec.wav,train,dry\dry_6442ed21-ea88-5d6f-f4a7-354f16318fec.wav,dry,1.0000,none,{},train
violin,f62c6e32-687d-5c41-f5ee-ef592bbc970a,./Medley-solos-DB/Medley-solos-DB_test-7_f62c6e32-687d-5c41-f5ee-ef592bbc970a.wav,train,dry\dry_f62c6e32-687d-5c41-f5ee-ef592bbc970a.wav,dry,1.0000,none,{},train
violin,a6e4af10-295f-5189-f480-d5213823f92c,./Medley-solos-DB/Medley-solos-DB_test-7_a6e4af10-295f-5189-f480-d5213823f92c.wav,train,dry\dry_a6e4af10-295f-5189-f480-d5213823f92c.wav,dry,1.0000,none,{},train
tenor saxophone,75dd4401-e430-5521-fc91-d98813a9fd50,./Medley-solos-DB/Medley-solos-DB_validation-5_75dd4401-e430-5521-fc91-d98813a9fd50.wav,train,dry\dry_75dd4401-e430-5521-fc91-d98813a9fd50.wav,dry,1.0000,none,{},train
piano,5164695b-9631-595f-f58f-01571ef4b498,./Medley-solos-DB/Medley-solos-DB_training-4_5164695b-9631-595f-f58f-01571ef4b498.wav,train,dry\dry_5164695b-9631-595f-f58f-01571ef4b498.wav,dry,1.0000,none,{},train
violin,194f7a96-1bd6-552c-f16e-d15fd8e1523e,./Medley-solos-DB/Medley-solos-DB_test-7_194f7a96-1bd6-552c-f16e-d15fd8e1523e.wav,train,dry\dry_194f7a96-1bd6-552c-f16e-d15fd8e1523e.wav,dry,1.0000,none,{},train
piano,0afc9c4d-1980-50c3-fc60-aa15b930510d,./Medley-solos-DB/Medley-solos-DB_validation-4_0afc9c4d-1980-50c3-fc60-aa15b930510d.wav,train,dry\dry_0afc9c4d-1980-50c3-fc60-aa15b930510d.wav,dry,1.0000,none,{},train
violin,09dab313-6722-5ca4-f9ce-298a80d2e5ab,./Medley-solos-DB/Medley-solos-DB_training-7_09dab313-6722-5ca4-f9ce-298a80d2e5ab.wav,train,dry\dry_09dab313-6722-5ca4-f9ce-298a80d2e5ab.wav,dry,1.0000,none,{},train
piano,47dfb3f8-211a-503c-fc67-4b9383a66080,./Medley-solos-DB/Medley-solos-DB_training-4_47dfb3f8-211a-503c-fc67-4b9383a66080.wav,train,dry\dry_47dfb3f8-211a-503c-fc67-4b9383a66080.wav,dry,1.0000,none,{},train
clarinet,b7bd569e-f8f7-5c38-f437-4c2eb06d90a9,./Medley-solos-DB/Medley-solos-DB_test-0_b7bd569e-f8f7-5c38-f437-4c2eb06d90a9.wav,train,dry\dry_b7bd569e-f8f7-5c38-f437-4c2eb06d90a9.wav,dry,1.0000,none,{},train
flute,dafd5e74-b30d-56fe-f466-4a6f13a1d84d,./Medley-solos-DB/Medley-solos-DB_test-3_dafd5e74-b30d-56fe-f466-4a6f13a1d84d.wav,train,dry\dry_dafd5e74-b30d-56fe-f466-4a6f13a1d84d.wav,dry,1.0000,none,{},train
flute,dacbead6-441b-5ce5-f6eb-4f0ecac3dc8a,./Medley-solos-DB/Medley-solos-DB_test-3_dacbead6-441b-5ce5-f6eb-4f0ecac3dc8a.wav,train,dry\dry_dacbead6-441b-5ce5-f6eb-4f0ecac3dc8a.wav,dry,1.0000,none,{},train
flute,8050ea37-f3b8-5719-fcf8-34f450049dcb,./Medley-solos-DB/Medley-solos-DB_test-3_8050ea37-f3b8-5719-fcf8-34f450049dcb.wav,train,dry\dry_8050ea37-f3b8-5719-fcf8-34f450049dcb.wav,dry,1.0000,none,{},train
violin,c407e2c7-5612-5f30-f7ac-4ae3f0aea125,./Medley-solos-DB/Medley-solos-DB_validation-7_c407e2c7-5612-5f30-f7ac-4ae3f0aea125.wav,train,dry\dry_c407e2c7-5612-5f30-f7ac-4ae3f0aea125.wav,dry,1.0000,none,{},train
piano,e37a7b86-03e7-5c1e-f39e-a8f7993fdae8,./Medley-solos-DB/Medley-solos-DB_training-4_e37a7b86-03e7-5c1e-f39e-a8f7993fdae8.wav,train,dry\dry_e37a7b86-03e7-5c1e-f39e-a8f7993fdae8.wav,dry,1.0000,none,{},train
violin,b583dfd0-f64b-5002-f452-c3bb0df04aac,./Medley-solos-DB/Medley-solos-DB_training-7_b583dfd0-f64b-5002-f452-c3bb0df04aac.wav,train,dry\dry_b583dfd0-f64b-5002-f452-c3bb0df04aac.wav,dry,1.0000,none,{},train
piano,2cba3841-0508-5967-fcd2-a36c9ebeecb5,./Medley-solos-DB/Medley-solos-DB_validation-4_2cba3841-0508-5967-fcd2-a36c9ebeecb5.wav,train,dry\dry_2cba3841-0508-5967-fcd2-a36c9ebeecb5.wav,dry,1.0000,none,{},train
piano,1e9e7967-f634-58e5-faaf-2ff862ea615a,./Medley-solos-DB/Medley-solos-DB_validation-4_1e9e7967-f634-58e5-faaf-2ff862ea615a.wav,train,dry\dry_1e9e7967-f634-58e5-faaf-2ff862ea615a.wav,dry,1.0000,none,{},train
piano,7308da46-8e02-5dcb-fb68-8adf2aa8a9b8,./Medley-solos-DB/Medley-solos-DB_test-4_7308da46-8e02-5dcb-fb68-8adf2aa8a9b8.wav,train,dry\dry_7308da46-8e02-5dcb-fb68-8adf2aa8a9b8.wav,dry,1.0000,none,{},train
violin,2be8b96c-7365-5f45-f569-3db36e824bb2,./Medley-solos-DB/Medley-solos-DB_test-7_2be8b96c-7365-5f45-f569-3db36e824bb2.wav,train,dry\dry_2be8b96c-7365-5f45-f569-3db36e824bb2.wav,dry,1.0000,none,{},train
piano,415b1621-b805-5091-f847-a0c929e1ea56,./Medley-solos-DB/Medley-solos-DB_training-4_415b1621-b805-5091-f847-a0c929e1ea56.wav,train,dry\dry_415b1621-b805-5091-f847-a0c929e1ea56.wav,dry,1.0000,none,{},train
flute,270bf791-7407-5b17-f6eb-f583ea44ea0d,./Medley-solos-DB/Medley-solos-DB_test-3_270bf791-7407-5b17-f6eb-f583ea44ea0d.wav,train,dry\dry_270bf791-7407-5b17-f6eb-f583ea44ea0d.wav,dry,1.0000,none,{},train
violin,dd689251-b910-55d3-f5ba-a3368ab9235a,./Medley-solos-DB/Medley-solos-DB_validation-7_dd689251-b910-55d3-f5ba-a3368ab9235a.wav,train,dry\dry_dd689251-b910-55d3-f5ba-a3368ab9235a.wav,dry,1.0000,none,{},train
violin,1fdf768e-bc91-5a50-fd1a-b5dc4a44bcc2,./Medley-solos-DB/Medley-solos-DB_training-7_1fdf768e-bc91-5a50-fd1a-b5dc4a44bcc2.wav,train,dry\dry_1fdf768e-bc91-5a50-fd1a-b5dc4a44bcc2.wav,dry,1.0000,none,{},train
clarinet,5046892c-7b2d-537f-f5ac-fcaa9d38a835,./Medley-solos-DB/Medley-solos-DB_test-0_5046892c-7b2d-537f-f5ac-fcaa9d38a835.wav,train,dry\dry_5046892c-7b2d-537f-f5ac-fcaa9d38a835.wav,dry,1.0000,none,{},train
violin,abe03fd1-80e8-5c4a-fd97-453e686be095,./Medley-solos-DB/Medley-solos-DB_validation-7_abe03fd1-80e8-5c4a-fd97-453e686be095.wav,train,dry\dry_abe03fd1-80e8-5c4a-fd97-453e686be095.wav,dry,1.0000,none,{},train
violin,7afc987e-8fe1-59e0-f797-ed49ec6da288,./Medley-solos-DB/Medley-solos-DB_test-7_7afc987e-8fe1-59e0-f797-ed49ec6da288.wav,train,dry\dry_7afc987e-8fe1-59e0-f797-ed49ec6da288.wav,dry,1.0000,none,{},train
female singer,2ca2729f-a9d9-53e6-f499-0a193a1a2489,./Medley-solos-DB/Medley-solos-DB_test-2_2ca2729f-a9d9-53e6-f499-0a193a1a2489.wav,train,dry\dry_2ca2729f-a9d9-53e6-f499-0a193a1a2489.wav,dry,1.0000,none,{},train
female singer,372fed66-b673-5be5-f361-aa02f3acadb4,./Medley-solos-DB/Medley-solos-DB_test-2_372fed66-b673-5be5-f361-aa02f3acadb4.wav,train,dry\dry_372fed66-b673-5be5-f361-aa02f3acadb4.wav,dry,1.0000,none,{},train
clarinet,5bf9225f-d2be-55c9-f9b3-93cceb4d6b7c,./Medley-solos-DB/Medley-solos-DB_training-0_5bf9225f-d2be-55c9-f9b3-93cceb4d6b7c.wav,train,dry\dry_5bf9225f-d2be-55c9-f9b3-93cceb4d6b7c.wav,dry,1.0000,none,{},train
